timestamp,elapsed_s,li850_co2_ppm,co2_avg_ppm,target_co2_ppm,co2_error_ppm,li850_h2o_mmol_mol,li850_cellpres_kpa,li850_celltemp_c,li850_flowrate,chamber_air_temp_c,chamber_air_mol,dCdt_ppm_s,supply_ppm_s,storage_umol_s,mfc_setpoint_mln_min,mfc_actual_mln_min,co2_supplied_umol_s,co2_supplied_umol_step,co2_supplied_mmol_total,A_canopy_1_umol_mol_s,A_canopy_2_umol_s,A_canopy_area_umol_m2_s,control_note
2026-05-04 17:46:36,0.0,438.136,438.136,440.000,1.864,14.604600,101.061000,51.508500,0.731119,25.000000,94.988387,,,,7.456000,0.000000,0.000000,0.000000,0.000000,,,,CO2 below target; MFC adding CO2
2026-05-04 17:46:42,6.0,438.119,437.887,440.000,2.113,14.596000,101.062000,51.513500,0.713079,25.000000,94.989327,0.02074869,0.05416044,1.970904,8.450857,6.918750,5.144664,5.254733,0.037958,0.03341175,3.173760,,CO2 below target; MFC adding CO2
2026-05-04 17:46:47,11.0,437.678,437.815,440.000,2.185,14.610300,101.062000,51.511800,0.717091,25.000000,94.989327,-0.02109815,0.06482619,-2.004099,8.738400,8.281250,6.157796,6.217425,0.064496,0.08592433,8.161895,,CO2 below target; MFC adding CO2
2026-05-04 17:46:53,17.0,437.567,437.637,440.000,2.363,14.608100,101.065000,51.508500,0.712463,25.000000,94.992147,-0.02158765,0.06820002,-2.050657,9.452800,8.712500,6.478466,6.517455,0.102932,0.08978766,8.529123,,CO2 below target; MFC adding CO2
2026-05-04 17:46:59,23.0,437.987,437.774,440.000,2.226,14.597000,101.061000,51.515200,0.718879,25.000000,94.988387,-0.00577388,0.07387812,-0.548451,8.904800,9.437500,7.017563,7.053812,0.144642,0.07965200,7.566015,,CO2 below target; MFC adding CO2
2026-05-04 17:47:04,28.0,437.448,437.803,440.000,2.197,14.591100,101.063000,51.508500,0.715011,25.000000,94.990267,-0.00249948,0.06957126,-0.237426,8.787200,8.887500,6.608593,6.663055,0.177995,0.07207074,6.846019,,CO2 below target; MFC adding CO2
2026-05-04 17:47:10,34.0,437.453,437.696,440.000,2.304,14.613900,101.062000,51.511800,0.716909,25.000000,94.989327,-0.00477808,0.06869129,-0.453867,9.216400,8.775000,6.524940,6.570763,0.217164,0.07346938,6.978807,,CO2 below target; MFC adding CO2
2026-05-04 17:47:15,39.0,438.283,437.799,440.000,2.201,14.605500,101.066000,51.505200,0.714690,25.000000,94.993087,0.00478364,0.07211322,0.454412,8.804400,9.212500,6.850257,6.900130,0.251246,0.06732958,6.395845,,CO2 below target; MFC adding CO2
2026-05-04 17:47:21,45.0,438.789,438.127,440.000,1.873,14.607200,101.064000,51.510200,0.713942,25.000000,94.991207,0.01469625,0.06883671,1.396015,7.492400,8.793750,6.538882,6.595225,0.290670,0.05414046,5.142867,,CO2 below target; MFC adding CO2
2026-05-04 17:47:26,50.0,438.594,438.295,440.000,1.705,14.602800,101.063000,51.506800,0.717847,25.000000,94.990267,0.02751884,0.05866100,2.614022,6.820800,7.493750,5.572224,5.612991,0.319145,0.03114216,2.958202,,CO2 below target; MFC adding CO2
2026-05-04 17:47:32,56.0,438.619,438.558,440.000,1.442,14.610300,101.062000,51.511800,0.715461,25.000000,94.989327,0.04413250,0.05332871,4.192116,5.768000,6.812500,5.065658,5.103958,0.349832,0.00919622,0.873542,,CO2 below target; MFC adding CO2
2026-05-04 17:47:37,61.0,438.678,438.670,440.000,1.330,14.610400,101.060000,51.516800,0.719011,25.000000,94.987447,0.04738570,0.04515906,4.501047,5.319200,5.768750,4.289544,4.331248,0.371775,-0.00222664,-0.211503,,CO2 below target; MFC adding CO2
2026-05-04 17:47:43,67.0,438.963,438.740,440.000,1.260,14.603800,101.063000,51.508500,0.716471,25.000000,94.990267,0.02760655,0.04163512,2.622354,5.040400,5.318750,3.954931,3.976463,0.395689,0.01402857,1.332578,,CO2 below target; MFC adding CO2
2026-05-04 17:47:49,73.0,439.092,438.921,440.000,1.079,14.600000,101.061000,51.510200,0.721149,25.000000,94.988387,0.02423175,0.08875160,2.301735,4.315600,11.337500,8.430371,8.680534,0.423190,0.06451984,6.128636,,CO2 below target; MFC adding CO2
2026-05-04 17:47:54,78.0,438.704,438.991,440.000,1.009,14.596100,101.062000,51.505200,0.714230,25.000000,94.989327,0.01646849,0.01991265,1.564331,4.037600,2.543750,1.891489,1.910411,0.441798,0.00344415,0.327158,,CO2 below target; MFC adding CO2
2026-05-04 17:47:59,83.0,438.941,438.867,440.000,1.133,14.601900,101.065000,51.505200,0.711520,25.000000,94.992147,0.00610927,0.02940331,0.580333,4.532000,3.756250,2.793083,2.809803,0.450155,0.02329403,2.212750,,CO2 below target; MFC adding CO2
2026-05-04 17:48:05,89.0,438.782,438.783,440.000,1.217,14.601900,101.064000,51.506800,0.719046,25.000000,94.991207,-0.00053705,0.03547023,-0.051015,4.868000,4.531250,3.369360,3.398565,0.469959,0.03600728,3.420375,,CO2 below target; MFC adding CO2
2026-05-04 17:48:11,95.0,438.888,438.696,440.000,1.304,14.601100,101.061000,51.508500,0.717660,25.000000,94.988387,-0.01076779,0.03801543,-1.022815,5.216000,4.856250,3.611024,3.626434,0.491434,0.04878322,4.633840,,CO2 below target; MFC adding CO2
2026-05-04 17:48:16,100.0,438.431,438.666,440.000,1.334,14.613000,101.061000,51.510200,0.714109,25.000000,94.988387,-0.01767727,0.04070635,-1.679135,5.337600,5.200000,3.866631,3.884932,0.510762,0.05838362,5.545766,,CO2 below target; MFC adding CO2
2026-05-04 17:48:22,106.0,438.337,438.590,440.000,1.410,14.600300,101.060000,51.508500,0.720748,25.000000,94.987447,-0.01448215,0.04168529,-1.375623,5.639600,5.325000,3.959579,3.991066,0.534476,0.05616744,5.335202,,CO2 below target; MFC adding CO2
2026-05-04 17:48:27,111.0,438.939,438.616,440.000,1.384,14.604300,101.063000,51.505200,0.719208,25.000000,94.990267,-0.00718369,0.04408137,-0.682380,5.534000,5.631250,4.187301,4.224439,0.555287,0.05126506,4.869681,,CO2 below target; MFC adding CO2
2026-05-04 17:48:33,117.0,438.509,438.738,440.000,1.262,14.608500,101.065000,51.510200,0.715116,25.000000,94.992147,-0.00112608,0.04334664,-0.106969,5.049600,5.537500,4.117590,4.131340,0.579986,0.04447272,4.224559,,CO2 below target; MFC adding CO2
2026-05-04 17:48:38,122.0,438.533,438.608,440.000,1.392,14.601000,101.067000,51.505200,0.714185,25.000000,94.994027,-0.00166248,0.03962763,-0.157926,5.567600,5.062500,3.764388,3.793173,0.599007,0.04129011,3.922314,,CO2 below target; MFC adding CO2
2026-05-04 17:48:44,128.0,438.471,438.546,440.000,1.454,14.606100,101.062000,51.511800,0.715097,25.000000,94.989327,-0.00165185,0.04354363,-0.156908,5.815600,5.562500,4.136180,4.168541,0.623561,0.04519548,4.293088,,CO2 below target; MFC adding CO2
2026-05-04 17:48:49,133.0,438.546,438.605,440.000,1.395,14.626400,101.065000,51.505200,0.714051,25.000000,94.992147,-0.00112231,0.04535252,-0.106611,5.578800,5.793750,4.308133,4.353921,0.645040,0.04647483,4.414744,,CO2 below target; MFC adding CO2
2026-05-04 17:48:55,139.0,439.072,438.702,440.000,1.298,14.609000,101.060000,51.515200,0.716512,25.000000,94.987447,-0.00205336,0.04369127,-0.195043,5.191600,5.581250,4.150122,4.172102,0.669990,0.04574463,4.345165,,CO2 below target; MFC adding CO2
2026-05-04 17:49:00,144.0,438.940,438.781,440.000,1.219,14.602900,101.064000,51.506800,0.714990,25.000000,94.991207,0.00760003,0.04060730,0.721936,4.877600,5.187500,3.857336,3.881685,0.689484,0.03300726,3.135400,,CO2 below target; MFC adding CO2
2026-05-04 17:49:06,150.0,438.540,438.706,440.000,1.294,14.599200,101.063000,51.513500,0.713078,25.000000,94.990267,0.00891453,0.03801468,0.846793,5.176400,4.856250,3.611024,3.647500,0.711355,0.02910015,2.764231,,CO2 below target; MFC adding CO2
2026-05-04 17:49:11,155.0,438.758,438.701,440.000,1.299,14.606900,101.063000,51.510200,0.713623,25.000000,94.990267,0.00560933,0.05968843,0.532831,5.196000,7.625000,5.669819,5.730170,0.741887,0.05407910,5.136988,,CO2 below target; MFC adding CO2
2026-05-04 17:49:17,161.0,438.832,438.858,440.000,1.142,14.601200,101.063000,51.511800,0.712429,25.000000,94.990267,0.01037061,0.03869963,0.985107,4.566800,4.943750,3.676088,3.703805,0.759625,0.02832902,2.690981,,CO2 below target; MFC adding CO2
2026-05-04 17:49:22,166.0,438.513,438.786,440.000,1.214,14.609300,101.063000,51.506800,0.713765,25.000000,94.990267,-0.00081618,0.03576413,-0.077530,4.855200,4.568750,3.397244,3.411414,0.776675,0.03658031,3.474774,,CO2 below target; MFC adding CO2
2026-05-04 17:49:28,172.0,438.910,438.666,440.000,1.334,14.607700,101.061000,51.510200,0.713991,25.000000,94.988387,-0.00142534,0.03796650,-0.135390,5.337200,4.850000,3.606377,3.639217,0.798153,0.03939184,3.741767,,CO2 below target; MFC adding CO2
2026-05-04 17:49:33,177.0,438.857,438.760,440.000,1.240,14.607700,101.063000,51.510200,0.710360,25.000000,94.990267,-0.00265954,0.04178190,-0.252631,4.958400,5.337500,3.968874,3.988930,0.817764,0.04444144,4.221504,,CO2 below target; MFC adding CO2
2026-05-04 17:49:39,183.0,438.345,438.632,440.000,1.368,14.599700,101.062000,51.510200,0.713544,25.000000,94.989327,-0.01163361,0.03870001,-1.105069,5.473200,4.943750,3.676088,3.709371,0.840015,0.05033362,4.781157,,CO2 below target; MFC adding CO2
2026-05-04 17:49:44,188.0,438.802,438.614,440.000,1.386,14.602200,101.065000,51.506800,0.710871,25.000000,94.992147,-0.00512878,0.04285740,-0.487193,5.545200,5.475000,4.071116,4.095679,0.860128,0.04798617,4.558310,,CO2 below target; MFC adding CO2
2026-05-04 17:49:50,194.0,438.523,438.581,440.000,1.419,14.608600,101.062000,51.508500,0.717114,25.000000,94.989327,-0.00518774,0.04334792,-0.492780,5.676000,5.537500,4.117590,4.155445,0.884813,0.04853567,4.610371,,CO2 below target; MFC adding CO2
2026-05-04 17:49:55,199.0,438.707,438.605,440.000,1.395,14.604000,101.059000,51.508500,0.713834,25.000000,94.986507,-0.00451733,0.04437668,-0.429085,5.579600,5.668750,4.215185,4.259088,0.905864,0.04889400,4.644270,,CO2 below target; MFC adding CO2
2026-05-04 17:50:01,205.0,438.788,438.665,440.000,1.335,14.602200,101.065000,51.506800,0.718255,25.000000,94.992147,-0.00196814,0.04364018,-0.186958,5.340800,5.575000,4.145475,4.173567,0.930767,0.04560832,4.332432,,CO2 below target; MFC adding CO2
2026-05-04 17:50:06,210.0,438.594,438.583,440.000,1.417,14.609800,101.060000,51.511800,0.714776,25.000000,94.987447,0.00348521,0.04173421,0.331051,5.666400,5.331250,3.964226,4.006468,0.950750,0.03824900,3.633175,,CO2 below target; MFC adding CO2
2026-05-04 17:50:12,216.0,438.903,438.737,440.000,1.263,14.603500,101.063000,51.506800,0.713773,25.000000,94.990267,0.00798042,0.04427707,0.758062,5.052800,5.656250,4.205891,4.236808,0.975841,0.03629665,3.447829,,CO2 below target; MFC adding CO2
2026-05-04 17:50:17,221.0,438.932,438.784,440.000,1.216,14.604800,101.060000,51.511800,0.719056,25.000000,94.987447,0.00890159,0.03953252,0.845539,4.864800,5.050000,3.755094,3.787682,0.994937,0.03063093,2.909554,,CO2 below target; MFC adding CO2
2026-05-04 17:50:23,227.0,438.595,438.825,440.000,1.175,14.605600,101.061000,51.503500,0.715478,25.000000,94.988387,0.01046951,0.03801543,0.994482,4.700000,4.856250,3.611024,3.639422,1.016701,0.02754592,2.616543,,CO2 below target; MFC adding CO2
2026-05-04 17:50:28,232.0,439.075,438.801,440.000,1.199,14.607300,101.061000,51.510100,0.712630,25.000000,94.988387,0.00975553,0.03679228,0.926662,4.794400,4.700000,3.494840,3.509983,1.034244,0.02703675,2.568177,,CO2 below target; MFC adding CO2
