timestamp,elapsed_s,li850_co2_ppm,co2_avg_ppm,target_co2_ppm,co2_error_ppm,li850_h2o_mmol_mol,li850_cellpres_kpa,li850_celltemp_c,li850_flowrate,chamber_air_temp_c,chamber_air_mol,mfc_raw_requested_mln_min,mfc_rate_limited_mln_min,mfc_setpoint_mln_min,mfc_actual_mln_min,mfc_flow_used_mln_min,co2_supply_inst_umol_s,co2_supply_avg_umol_s,co2_supplied_umol_step,co2_supplied_mmol_total,feedforward_flow_mln_min,raw_feedforward_flow_mln_min,dCdt_simple_ppm_s,dCdt_regression_ppm_s,dCdt_regression_short_ppm_s,storage_simple_umol_s,storage_regression_umol_s,storage_regression_short_umol_s,A_inst_umol_s,A_from_avg_supply_umol_s,A_regression_umol_s,A_regression_short_umol_s,A_smoothed_umol_s,A_regression_smoothed_umol_s,A_inst_umol_m2_s,A_from_avg_supply_umol_m2_s,A_regression_umol_m2_s,A_smoothed_umol_m2_s,control_note
2026-05-06 15:49:14,0.0,447.886,447.886,450.000,2.114,14.334000,100.790000,51.505200,0.720036,18.000000,97.011314,2.114000,2.114000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,below deadband; feedforward + feedback
2026-05-06 15:49:24,10.4,447.298,447.535,450.000,2.465,14.336000,100.788000,51.498500,0.716057,18.000000,97.009389,3.935446,3.000000,0.000000,,0.000000,0.000000,0.000000,0.000000,0.000000,1.470446,7.352230,-0.05880076,-0.05635529,-0.05635529,-5.704226,-5.466992,-5.466992,5.704226,5.704226,5.466992,5.466992,5.704226,5.466992,,,,,below deadband; feedforward + feedback
2026-05-06 15:49:35,21.4,447.034,447.272,450.000,2.728,14.330800,100.791000,51.505200,0.719140,18.000000,97.012276,5.247408,3.000000,3.000000,,3.000000,0.000000,0.000000,0.000000,0.000000,2.519454,6.715484,-0.04057175,-0.04659251,-0.04659251,-3.935958,-4.520045,-4.520045,3.935958,3.935958,4.520045,4.520045,4.820092,4.993519,,,,,below deadband; feedforward + feedback
2026-05-06 15:49:45,31.4,446.245,447.094,450.000,2.906,14.343200,100.788000,51.508500,0.719188,18.000000,97.009389,6.128863,6.000000,6.000000,,6.000000,2.230749,0.000000,2.231371,0.022308,3.222960,6.036984,-0.05293577,-0.03587237,-0.03587237,-5.135266,-3.479957,-3.479957,7.366015,5.135266,3.479957,3.479957,4.925150,4.488998,,,,,below deadband; feedforward + feedback
2026-05-06 15:49:56,42.4,446.204,446.748,450.000,3.252,14.344700,100.792000,51.511800,0.717357,18.000000,97.013239,6.983294,6.983294,6.983294,,6.983294,4.461497,0.478018,4.462632,0.071379,3.731649,5.766405,-0.04004877,-0.03304896,-0.03304896,-3.885261,-3.206187,-3.206187,8.346758,4.363278,3.684204,3.684204,4.784682,4.287800,,,,,below deadband; feedforward + feedback
2026-05-06 15:50:06,52.4,445.898,446.470,450.000,3.530,14.342400,100.789000,51.501800,0.718410,18.000000,97.010351,7.674901,7.674901,7.674901,,7.674901,5.192658,1.291486,5.191097,0.123306,4.144772,5.797263,-0.03823108,-0.03206919,-0.03206919,-3.708811,-3.111044,-3.111044,8.901468,5.000297,4.402530,4.402530,4.827805,4.310746,,,,,below deadband; feedforward + feedback
2026-05-06 15:50:16,62.4,445.586,446.169,450.000,3.831,14.340900,100.788000,51.508500,0.715929,18.000000,97.009389,8.341059,8.341059,8.341059,,8.341059,5.706925,2.028068,5.707676,0.180375,4.509865,5.970240,-0.03088393,-0.03148574,-0.03116931,-2.996031,-3.054412,-3.023716,8.702956,5.024099,5.082480,5.051784,4.860521,4.439368,,,,,below deadband; feedforward + feedback
2026-05-06 15:50:26,72.4,445.548,445.893,450.000,4.107,14.353200,100.792000,51.503500,0.717734,18.000000,97.013239,8.950917,8.950917,8.950917,,8.950917,6.202269,2.618020,6.208416,0.242402,4.843723,6.179155,-0.03453406,-0.02998323,-0.02830941,-3.350261,-2.908770,-2.746388,9.552530,5.968281,5.526790,5.364408,5.018772,4.594714,,,,,below deadband; feedforward + feedback
2026-05-06 15:50:37,83.4,445.180,445.571,450.000,4.429,14.344100,100.788000,51.505200,0.719617,18.000000,97.009389,9.587406,9.587406,9.587406,,9.587406,6.655748,3.153527,6.654844,0.315608,5.158773,6.418972,-0.02478385,-0.02956185,-0.02874543,-2.404267,-2.867777,-2.788577,9.060015,5.557794,6.021305,5.942104,5.086150,4.773038,,,,,below deadband; feedforward + feedback
2026-05-06 15:50:48,94.4,444.956,445.279,450.000,4.721,14.337100,100.791000,51.511800,0.713138,18.000000,97.012276,10.182252,10.182252,10.182252,,10.182252,7.129031,3.612409,7.129497,0.394022,5.461026,6.670038,-0.02656767,-0.02928314,-0.02778330,-2.577390,-2.840824,-2.695321,9.706421,6.189799,6.453233,6.307730,5.208778,4.959726,,,,,below deadband; feedforward + feedback
2026-05-06 15:50:58,104.4,444.441,444.997,450.000,5.003,14.345100,100.790000,51.506800,0.717680,18.000000,97.011314,10.743789,10.743789,10.743789,,10.743789,7.571348,4.026853,7.574866,0.469736,5.740692,6.859355,-0.03708405,-0.02790491,-0.02740831,-3.597573,-2.707092,-2.658916,11.168921,7.624425,6.733945,6.685769,5.422133,5.100499,,,,,below deadband; feedforward + feedback
