timestamp,elapsed_s,li850_co2_ppm,co2_avg_ppm,target_co2_ppm,co2_error_ppm,li850_h2o_mmol_mol,li850_cellpres_kpa,li850_celltemp_c,li850_flowrate,chamber_air_temp_c,chamber_air_mol,mfc_raw_requested_mln_min,mfc_rate_limited_mln_min,mfc_setpoint_mln_min,mfc_actual_mln_min,mfc_flow_used_mln_min,co2_supply_inst_umol_s,co2_supply_avg_umol_s,A_MFC_only_umol_s,A_MFC_only_smoothed_umol_s,co2_supplied_umol_step,co2_supplied_mmol_total,feedforward_flow_mln_min,raw_feedforward_flow_mln_min,dCdt_simple_ppm_s,dCdt_regression_ppm_s,dCdt_regression_short_ppm_s,storage_simple_umol_s,storage_regression_umol_s,storage_regression_short_umol_s,A_inst_umol_s,A_from_avg_supply_umol_s,A_regression_umol_s,A_regression_short_umol_s,A_smoothed_umol_s,A_regression_smoothed_umol_s,A_inst_umol_m2_s,A_from_avg_supply_umol_m2_s,A_MFC_only_umol_m2_s,A_regression_umol_m2_s,A_smoothed_umol_m2_s,control_note
2026-05-06 18:11:15,0.0,434.381,434.381,450.000,15.619,14.299900,100.831000,51.506800,0.722608,18.000000,97.050777,15.619000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,,,,,,,,,,,,,,,,,,below deadband; feedforward + feedback
2026-05-06 18:11:21,5.9,434.227,434.369,450.000,15.631,14.296300,100.829000,51.498500,0.716977,18.000000,97.048852,16.176672,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.545386,2.726930,-0.02566725,-0.02089359,-0.02089359,-2.490977,-2.027699,-2.027699,2.490977,2.490977,2.027699,2.027699,2.490977,2.027699,,,,,,below deadband; feedforward + feedback
2026-05-06 18:11:26,10.9,434.084,434.227,450.000,15.773,14.301100,100.832000,51.501800,0.718840,18.000000,97.051739,17.111860,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.339110,4.514006,-0.02700044,-0.04827709,-0.04827709,-2.620439,-4.685376,-4.685376,2.620439,2.620439,4.685376,4.685376,2.555708,3.356537,,,,,,below deadband; feedforward + feedback
2026-05-06 18:11:31,15.9,433.715,434.161,450.000,15.839,14.297100,100.831000,51.506800,0.716732,18.000000,97.050777,17.815961,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.976549,4.526307,-0.04162580,-0.03486813,-0.03486813,-4.039816,-3.383979,-3.383979,4.039816,4.039816,3.383979,3.383979,3.050411,3.365685,,,,,,below deadband; feedforward + feedback
2026-05-06 18:11:36,20.9,433.607,434.015,450.000,15.985,14.295400,100.832000,51.506800,0.712635,18.000000,97.051739,18.500894,3.000000,3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.515794,4.672770,-0.03685705,-0.03916789,-0.03916789,-3.577041,-3.801312,-3.801312,3.577041,3.577041,3.801312,3.801312,3.182068,3.474592,,,,,,below deadband; feedforward + feedback
2026-05-06 18:11:42,26.9,433.568,433.773,450.000,16.227,14.299500,100.831000,51.501800,0.719524,18.000000,97.050777,19.186002,6.000000,6.000000,2.862500,2.862500,2.123859,0.000000,0.000000,0.000000,2.139598,0.011239,2.959452,4.734085,-0.03011126,-0.03815071,-0.03815071,-2.922321,-3.702556,-3.702556,5.046180,2.922321,3.702556,3.702556,3.130119,3.520184,,,,,,below deadband; feedforward + feedback
2026-05-06 18:11:47,31.9,433.690,433.651,450.000,16.349,14.297700,100.830000,51.506800,0.717963,18.000000,97.049814,19.656300,9.000000,9.000000,5.931250,5.931250,4.410376,0.067286,0.067286,0.009612,4.441105,0.032936,3.307450,4.699444,-0.02159463,-0.03398611,-0.03398611,-2.095755,-3.298346,-3.298346,6.506131,2.163041,3.365632,3.365632,2.968939,3.494426,,,,,,below deadband; feedforward + feedback
2026-05-06 18:11:53,37.9,433.580,433.523,450.000,16.477,14.285400,100.832000,51.508500,0.715126,18.000000,97.051739,20.054220,12.000000,12.000000,8.981250,8.981250,6.701541,0.530604,0.530604,0.074736,6.734035,0.086283,3.577570,4.658048,-0.02107950,-0.02831847,-0.02831847,-2.045802,-2.748357,-2.748357,8.747343,2.576406,3.278961,3.278961,2.912863,3.463645,,,,,,below deadband; feedforward + feedback
2026-05-06 18:11:58,42.9,433.144,433.467,450.000,16.533,14.291600,100.832000,51.508500,0.715761,18.000000,97.051739,20.330730,15.000000,15.000000,11.943750,11.943750,8.895110,1.159661,1.159661,0.195283,8.958415,0.124515,3.797780,4.678622,-0.02876823,-0.02500080,-0.02500080,-2.792006,-2.426372,-2.426372,11.687117,3.951668,3.586033,3.586033,3.042714,3.478943,,,,,,below deadband; feedforward + feedback
2026-05-06 18:12:04,48.9,434.202,433.459,450.000,16.541,14.283000,100.830000,51.498500,0.719164,18.000000,97.049814,20.538436,18.000000,18.000000,14.968750,14.968750,11.135154,2.243878,2.243878,0.400143,11.200154,0.191045,3.997586,4.796806,-0.00365314,-0.02087570,-0.02087570,-0.354537,-2.025983,-2.025983,11.489691,2.598414,4.269861,4.269861,2.993347,3.566823,,,,,,below deadband; feedforward + feedback
2026-05-06 18:12:09,53.9,433.820,433.461,450.000,16.539,14.299100,100.832000,51.501800,0.715812,18.000000,97.051739,20.727761,20.727761,20.727761,17.993750,17.993750,13.370550,3.012130,3.012130,0.637596,13.475077,0.257774,4.188461,4.951963,-0.01038912,-0.01760312,-0.01760312,-1.008283,-1.708413,-1.708413,14.378832,4.020413,4.720543,4.720543,3.096054,3.682195,,,,,,below deadband; feedforward + feedback
