pc_received_time,device,timestamp,epoch,time_label,elapsed_s,temp_c,rh_percent,co2_ppm,pressure_hpa,vpd_kpa,air_velocity_ms,par_raw,par_umol_m2_s
2026-05-08 18:14:41,DREAM_Sensors_1,2026-05-08 16:14:41,1778256881,16:14:41,3037.0,21.68,37.46,,1016.29,1.621,0.088,,
2026-05-08 18:14:46,DREAM_Sensors_1,2026-05-08 16:14:46,1778256886,16:14:46,3042.0,21.68,37.4,700.0,1016.28,1.623,0.091,,
2026-05-08 18:14:51,DREAM_Sensors_1,2026-05-08 16:14:51,1778256891,16:14:51,3047.1,21.68,37.31,666.0,1016.29,1.626,0.091,,
2026-05-08 18:14:56,DREAM_Sensors_1,2026-05-08 16:14:56,1778256896,16:14:56,3052.1,21.69,37.24,645.0,1016.28,1.628,0.083,,
2026-05-08 18:15:01,DREAM_Sensors_1,2026-05-08 16:15:01,1778256901,16:15:01,3057.1,21.69,37.2,663.0,1016.28,1.629,0.088,,
2026-05-08 18:15:06,DREAM_Sensors_1,2026-05-08 16:15:06,1778256906,16:15:06,3062.1,21.69,37.12,659.0,1016.28,1.632,0.088,,
2026-05-08 18:15:11,DREAM_Sensors_1,2026-05-08 16:15:11,1778256911,16:15:11,3067.1,21.69,37.05,643.0,1016.27,1.634,0.093,,
2026-05-08 18:15:16,DREAM_Sensors_1,2026-05-08 16:15:16,1778256916,16:15:16,3072.1,21.7,37.08,642.0,1016.26,1.633,0.091,,
2026-05-08 18:15:23,DREAM_Sensors_1,2026-05-08 16:15:21,1778256921,16:15:21,3077.1,21.7,37.3,641.0,1016.26,1.628,0.093,,
2026-05-08 18:15:26,DREAM_Sensors_1,2026-05-08 16:15:26,1778256926,16:15:26,3082.1,21.71,37.35,640.0,1016.26,1.627,0.096,,
2026-05-08 18:15:34,DREAM_Sensors_1,2026-05-08 16:15:31,1778256931,16:15:31,3087.2,21.71,37.21,640.0,1016.26,1.631,0.164,,
2026-05-08 18:15:36,DREAM_Sensors_1,2026-05-08 16:15:36,1778256936,16:15:36,3092.2,21.71,37.15,641.0,1016.26,1.633,0.161,,
2026-05-08 18:15:41,DREAM_Sensors_1,2026-05-08 16:15:41,1778256941,16:15:41,3097.2,21.71,37.05,644.0,1016.27,1.636,0.151,,
2026-05-08 18:15:46,DREAM_Sensors_1,2026-05-08 16:15:46,1778256946,16:15:46,3102.2,21.72,37.05,646.0,1016.27,1.636,0.098,,
2026-05-08 18:15:51,DREAM_Sensors_1,2026-05-08 16:15:51,1778256951,16:15:51,3107.2,21.72,37.18,647.0,1016.27,1.633,0.091,,
2026-05-08 18:15:56,DREAM_Sensors_1,2026-05-08 16:15:56,1778256956,16:15:56,3112.2,21.73,37.14,648.0,1016.27,1.634,0.093,,
2026-05-08 18:16:01,DREAM_Sensors_1,2026-05-08 16:16:01,1778256961,16:16:01,3117.2,21.73,37.04,651.0,1016.27,1.638,0.091,,
2026-05-08 18:16:06,DREAM_Sensors_1,2026-05-08 16:16:06,1778256966,16:16:06,3122.2,21.74,36.97,653.0,1016.27,1.64,0.091,,
2026-05-08 18:16:11,DREAM_Sensors_1,2026-05-08 16:16:11,1778256971,16:16:11,3127.2,21.75,36.9,653.0,1016.27,1.643,0.096,,
2026-05-08 18:16:16,DREAM_Sensors_1,2026-05-08 16:16:16,1778256976,16:16:16,3132.2,21.75,36.83,652.0,1016.27,1.645,0.086,,
2026-05-08 18:16:21,DREAM_Sensors_1,2026-05-08 16:16:21,1778256981,16:16:21,3137.3,21.76,36.76,655.0,1016.26,1.648,0.091,,
2026-05-08 18:16:27,DREAM_Sensors_1,2026-05-08 16:16:26,1778256986,16:16:26,3142.3,21.77,36.73,654.0,1016.26,1.649,0.091,,
2026-05-08 18:16:32,DREAM_Sensors_1,2026-05-08 16:16:31,1778256991,16:16:31,3147.3,21.78,36.71,654.0,1016.26,1.651,0.091,,
2026-05-08 18:16:37,DREAM_Sensors_1,2026-05-08 16:16:36,1778256996,16:16:36,3152.3,21.78,36.69,655.0,1016.26,1.652,0.161,,
2026-05-08 18:16:42,DREAM_Sensors_1,2026-05-08 16:16:41,1778257001,16:16:41,3157.3,21.79,36.69,655.0,1016.26,1.653,0.164,,
2026-05-08 18:16:47,DREAM_Sensors_1,2026-05-08 16:16:46,1778257006,16:16:46,3162.3,21.8,36.69,654.0,1016.26,1.653,0.156,,
2026-05-08 18:16:53,DREAM_Sensors_1,2026-05-08 16:16:51,1778257011,16:16:51,3167.3,21.8,36.69,657.0,1016.26,1.654,0.141,,
2026-05-08 18:16:57,DREAM_Sensors_1,2026-05-08 16:16:56,1778257016,16:16:56,3172.3,21.81,36.92,656.0,1016.26,1.648,0.093,,
2026-05-08 18:17:02,DREAM_Sensors_1,2026-05-08 16:17:01,1778257021,16:17:01,3177.3,21.82,37.08,656.0,1016.26,1.645,0.096,,
2026-05-08 18:17:07,DREAM_Sensors_1,2026-05-08 16:17:06,1778257026,16:17:06,3182.4,21.83,37.08,656.0,1016.26,1.646,0.096,,
2026-05-08 18:17:12,DREAM_Sensors_1,2026-05-08 16:17:11,1778257031,16:17:11,3187.4,21.84,37.06,654.0,1016.26,1.648,0.088,,
2026-05-08 18:17:17,DREAM_Sensors_1,2026-05-08 16:17:16,1778257036,16:17:16,3192.4,21.85,37.05,655.0,1016.26,1.649,0.088,,
2026-05-08 18:17:22,DREAM_Sensors_1,2026-05-08 16:17:21,1778257041,16:17:21,3197.4,21.86,37.01,653.0,1016.26,1.651,0.093,,
2026-05-08 18:17:27,DREAM_Sensors_1,2026-05-08 16:17:26,1778257046,16:17:26,3202.4,21.86,36.92,654.0,1016.26,1.654,0.093,,
2026-05-08 18:17:32,DREAM_Sensors_1,2026-05-08 16:17:31,1778257051,16:17:31,3207.4,21.87,37.0,657.0,1016.25,1.652,0.088,,
2026-05-08 18:17:37,DREAM_Sensors_1,2026-05-08 16:17:36,1778257056,16:17:36,3212.4,21.87,36.99,657.0,1016.25,1.653,0.091,,
2026-05-08 18:17:42,DREAM_Sensors_1,2026-05-08 16:17:41,1778257061,16:17:41,3217.4,21.88,37.04,658.0,1016.25,1.653,0.091,,
2026-05-08 18:17:47,DREAM_Sensors_1,2026-05-08 16:17:46,1778257066,16:17:46,3222.5,21.89,37.03,660.0,1016.25,1.653,0.166,,
2026-05-08 18:17:52,DREAM_Sensors_1,2026-05-08 16:17:51,1778257071,16:17:51,3227.5,21.88,36.89,662.0,1016.25,1.657,0.166,,
2026-05-08 18:17:57,DREAM_Sensors_1,2026-05-08 16:17:56,1778257076,16:17:56,3232.5,21.89,36.8,661.0,1016.25,1.659,0.156,,
2026-05-08 18:18:03,DREAM_Sensors_1,2026-05-08 16:18:01,1778257081,16:18:01,3237.5,21.89,36.86,660.0,1016.25,1.658,0.093,,
2026-05-08 18:18:09,DREAM_Sensors_1,2026-05-08 16:18:06,1778257086,16:18:06,3242.5,21.89,36.85,661.0,1016.24,1.658,0.091,,
2026-05-08 18:18:12,DREAM_Sensors_1,2026-05-08 16:18:11,1778257091,16:18:11,3247.5,21.89,36.82,661.0,1016.24,1.659,0.093,,
2026-05-08 18:18:17,DREAM_Sensors_1,2026-05-08 16:18:16,1778257096,16:18:16,3252.5,21.88,36.85,659.0,1016.25,1.658,0.096,,
2026-05-08 18:18:22,DREAM_Sensors_1,2026-05-08 16:18:21,1778257101,16:18:21,3257.5,21.88,36.8,658.0,1016.24,1.659,0.093,,
2026-05-08 18:18:27,DREAM_Sensors_1,2026-05-08 16:18:26,1778257106,16:18:26,3262.5,21.88,36.76,661.0,1016.24,1.66,0.091,,
2026-05-08 18:18:32,DREAM_Sensors_1,2026-05-08 16:18:31,1778257111,16:18:31,3267.5,21.88,36.72,659.0,1016.24,1.66,0.096,,
2026-05-08 18:18:37,DREAM_Sensors_1,2026-05-08 16:18:36,1778257116,16:18:36,3272.5,21.87,36.93,659.0,1016.25,1.655,0.093,,
2026-05-08 18:18:42,DREAM_Sensors_1,2026-05-08 16:18:41,1778257121,16:18:41,3277.6,21.87,36.95,659.0,1016.24,1.654,0.093,,
2026-05-08 18:18:47,DREAM_Sensors_1,2026-05-08 16:18:46,1778257126,16:18:46,3282.6,21.86,36.84,660.0,1016.25,1.656,0.093,,
2026-05-08 18:18:52,DREAM_Sensors_1,2026-05-08 16:18:51,1778257131,16:18:51,3287.6,21.86,36.83,658.0,1016.25,1.656,0.149,,
2026-05-08 18:18:57,DREAM_Sensors_1,2026-05-08 16:18:56,1778257136,16:18:56,3292.6,21.85,36.79,658.0,1016.24,1.656,0.169,,
2026-05-08 18:19:02,DREAM_Sensors_1,2026-05-08 16:19:01,1778257141,16:19:01,3297.6,21.85,36.74,658.0,1016.24,1.657,0.159,,
2026-05-08 18:19:07,DREAM_Sensors_1,2026-05-08 16:19:06,1778257146,16:19:06,3302.6,21.84,36.72,657.0,1016.24,1.657,0.161,,
2026-05-08 18:19:12,DREAM_Sensors_1,2026-05-08 16:19:11,1778257151,16:19:11,3307.6,21.84,36.71,656.0,1016.24,1.657,0.098,,
