pc_received_time,device,timestamp,epoch,time_label,elapsed_s,temp_c,rh_percent,co2_ppm,pressure_hpa,vpd_kpa,air_velocity_ms,par_raw,par_umol_m2_s,fan_speed_percent,fan_rpm,fan_dac_v
2026-06-06 00:00:04,DREAM_BotFan_1,2026-06-06 00:00:03,1780704003,2026-06-06 00:00:03,18431.6,22.75,52.18,453.0,NAN,1.323,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:00:04,DREAM_Sensors_1,2026-06-06 00:00:04,1780704004,00:00:04,27494.3,21.93,56.12,426.0,1014.47,1.155,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:00:09,DREAM_BotFan_1,2026-06-06 00:00:08,1780704008,2026-06-06 00:00:08,18436.6,22.75,52.20,455.0,NAN,1.322,NAN,NAN,NAN,80.0,5202.9,8.0
2026-06-06 00:00:09,DREAM_Sensors_1,2026-06-06 00:00:09,1780704009,00:00:09,27499.3,21.92,56.18,426.0,1014.47,1.153,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:00:14,DREAM_BotFan_1,2026-06-06 00:00:13,1780704013,2026-06-06 00:00:13,18441.6,22.75,52.11,450.0,NAN,1.325,NAN,NAN,NAN,80.0,5202.9,8.0
2026-06-06 00:00:14,DREAM_Sensors_1,2026-06-06 00:00:14,1780704014,00:00:14,27504.3,21.90,56.23,427.0,1014.47,1.150,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:00:19,DREAM_BotFan_1,2026-06-06 00:00:18,1780704018,2026-06-06 00:00:18,18446.6,22.74,52.16,445.0,NAN,1.323,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:00:19,DREAM_Sensors_1,2026-06-06 00:00:19,1780704019,00:00:19,27509.3,21.88,56.26,429.0,1014.47,1.148,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:00:24,DREAM_BotFan_1,2026-06-06 00:00:23,1780704023,2026-06-06 00:00:23,18451.6,22.73,52.13,441.0,NAN,1.323,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:00:24,DREAM_Sensors_1,2026-06-06 00:00:24,1780704024,00:00:24,27514.3,21.87,56.30,428.0,1014.47,1.146,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:00:29,DREAM_BotFan_1,2026-06-06 00:00:28,1780704028,2026-06-06 00:00:28,18456.6,22.74,52.18,443.0,NAN,1.322,NAN,NAN,NAN,80.0,5373.5,8.0
2026-06-06 00:00:29,DREAM_Sensors_1,2026-06-06 00:00:29,1780704029,00:00:29,27519.4,21.85,56.35,427.0,1014.48,1.144,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:00:34,DREAM_BotFan_1,2026-06-06 00:00:33,1780704033,2026-06-06 00:00:33,18461.6,22.74,52.14,442.0,NAN,1.324,NAN,NAN,NAN,80.0,5370.6,8.0
2026-06-06 00:00:35,DREAM_Sensors_1,2026-06-06 00:00:34,1780704034,00:00:34,27524.4,21.84,56.39,428.0,1014.48,1.142,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:00:39,DREAM_BotFan_1,2026-06-06 00:00:38,1780704038,2026-06-06 00:00:38,18466.6,22.76,52.13,435.0,NAN,1.326,NAN,NAN,NAN,80.0,5200.2,8.0
2026-06-06 00:00:39,DREAM_Sensors_1,2026-06-06 00:00:39,1780704039,00:00:39,27529.4,21.82,56.43,429.0,1014.48,1.139,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:00:44,DREAM_BotFan_1,2026-06-06 00:00:43,1780704043,2026-06-06 00:00:43,18471.6,22.78,52.13,410.0,NAN,1.327,NAN,NAN,NAN,80.0,5370.6,8.0
2026-06-06 00:00:44,DREAM_Sensors_1,2026-06-06 00:00:44,1780704044,00:00:44,27534.4,21.81,56.47,430.0,1014.48,1.137,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:00:49,DREAM_BotFan_1,2026-06-06 00:00:48,1780704048,2026-06-06 00:00:48,18476.6,22.76,52.19,409.0,NAN,1.324,NAN,NAN,NAN,80.0,5200.2,8.0
2026-06-06 00:00:49,DREAM_Sensors_1,2026-06-06 00:00:49,1780704049,00:00:49,27539.4,21.80,56.49,430.0,1014.49,1.136,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:00:54,DREAM_BotFan_1,2026-06-06 00:00:53,1780704053,2026-06-06 00:00:53,18481.6,22.74,52.18,415.0,NAN,1.322,NAN,NAN,NAN,80.0,5202.9,8.0
2026-06-06 00:00:54,DREAM_Sensors_1,2026-06-06 00:00:54,1780704054,00:00:54,27544.4,21.79,56.51,432.0,1014.49,1.135,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:00:59,DREAM_BotFan_1,2026-06-06 00:00:58,1780704058,2026-06-06 00:00:58,18486.6,22.74,52.16,423.0,NAN,1.323,NAN,NAN,NAN,80.0,5200.2,8.0
2026-06-06 00:00:59,DREAM_Sensors_1,2026-06-06 00:00:59,1780704059,00:00:59,27549.4,21.78,56.54,433.0,1014.48,1.134,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:01:04,DREAM_BotFan_1,2026-06-06 00:01:03,1780704063,2026-06-06 00:01:03,18491.6,22.76,52.16,427.0,NAN,1.324,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:01:04,DREAM_Sensors_1,2026-06-06 00:01:04,1780704064,00:01:04,27554.4,21.78,56.52,433.0,1014.48,1.134,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:01:09,DREAM_BotFan_1,2026-06-06 00:01:08,1780704068,2026-06-06 00:01:08,18496.6,22.74,52.14,425.0,NAN,1.324,NAN,NAN,NAN,80.0,5285.4,8.0
2026-06-06 00:01:09,DREAM_Sensors_1,2026-06-06 00:01:09,1780704069,00:01:09,27559.4,21.77,56.53,431.0,1014.49,1.133,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:01:14,DREAM_BotFan_1,2026-06-06 00:01:13,1780704073,2026-06-06 00:01:13,18501.6,22.74,52.19,426.0,NAN,1.322,NAN,NAN,NAN,80.0,5200.2,8.0
2026-06-06 00:01:14,DREAM_Sensors_1,2026-06-06 00:01:14,1780704074,00:01:14,27564.4,21.76,56.55,432.0,1014.49,1.133,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:01:19,DREAM_BotFan_1,2026-06-06 00:01:18,1780704078,2026-06-06 00:01:18,18506.6,22.74,52.16,424.0,NAN,1.323,NAN,NAN,NAN,80.0,5200.2,8.0
2026-06-06 00:01:19,DREAM_Sensors_1,2026-06-06 00:01:19,1780704079,00:01:19,27569.4,21.76,56.58,433.0,1014.49,1.131,NAN,NAN,NAN,NAN,NAN,NAN
2026-06-06 00:01:24,DREAM_BotFan_1,2026-06-06 00:01:23,1780704083,2026-06-06 00:01:23,18511.6,22.75,52.13,424.0,NAN,1.325,NAN,NAN,NAN,80.0,5200.2,8.0
2026-06-06 00:01:24,DREAM_Sensors_1,2026-06-06 00:01:24,1780704084,00:01:24,27574.4,21.75,56.59,434.0,1014.48,1.130,NAN,NAN,NAN,NAN,NAN,NAN
